id con_taxonomy res_taxonomy con_mass_mean res_mass_mean interaction_dim
"2124" "Melphidippa antarctica" "Kirkpatrickia variolosa" 0.47 45 "2D"
"2125" "Melphidippa antarctica" "Rossella racovitzae" 0.47 45 "2D"
"2126" "Melphidippa antarctica" "Stylocordyla borealis" 0.47 45 "2D"
"2127" "Melphidippa antarctica" "Homaxinella balfourensis" 0.47 2.3 "2D"
"2128" "Melphidippa antarctica" "Scolymastra joubini" 0.47 720 "2D"
"2129" "Melphidippa antarctica" "Latrunculia apicalis" 0.47 1 "2D"
"2130" "Melphidippa antarctica" "Latrunculia brevis" 0.47 1 "2D"
"2131" "Melphidippa antarctica" "Tetilla leptoderma" 0.47 30 "2D"
"2132" "Melphidippa antarctica" "Haliclona dancoi" 0.47 5.6 "2D"
"2133" "Melphidippa antarctica" "Mycale acerata" 0.47 12 "2D"
"2134" "Melphidippa antarctica" "Rossella antarctica" 0.47 12 "2D"
"2135" "Melphidippa antarctica" "Rossella tarenja" 0.47 12 "2D"
"2136" "Melphidippa antarctica" "Haliclona tenella" 0.47 5.6 "2D"
"2137" "Melphidippa antarctica" "Clathria pauper" 0.47 2.3 "2D"
"2138" "Melphidippa antarctica" "Calyx arcuarius" 0.47 2.3 "2D"
"2139" "Melphidippa antarctica" "Isodyctia toxophila" 0.47 5.6 "2D"
"2140" "Melphidippa antarctica" "Isodyctia cavicornuta" 0.47 5.6 "2D"
"2141" "Melphidippa antarctica" "Isodyctia steifera" 0.47 5.6 "2D"
"2142" "Melphidippa antarctica" "Axociella nidificata" 0.47 6.5 "2D"
"2143" "Melphidippa antarctica" "Rossella nuda" 0.47 300 "2D"
"2144" "Melphidippa antarctica" "Tentorium papillatum" 0.47 5.6 "2D"
"2145" "Melphidippa antarctica" "Tentorium semisuberites" 0.47 5.6 "2D"
"2146" "Melphidippa antarctica" "Tedania oxeata" 0.47 5.6 "2D"
"2147" "Melphidippa antarctica" "Tedania tantulata" 0.47 5.6 "2D"
"2148" "Melphidippa antarctica" "Tedania vanhoeffeni" 0.47 5.6 "2D"
"2149" "Melphidippa antarctica" "Phorbas areolatus" 0.47 1.2 "2D"
"2150" "Melphidippa antarctica" "Phorbas glaberrima" 0.47 1.2 "2D"
"2151" "Melphidippa antarctica" "Polymastia invaginata" 0.47 0.92 "2D"
"2152" "Melphidippa antarctica" "Polymastia isidis" 0.47 0.92 "2D"
"2153" "Melphidippa antarctica" "Anoxycalyx joubini" 0.47 720 "2D"
"2154" "Oediceroides emarginatus" "Actinocyclus actinochilus" 6.4 4.06e-11 "2D"
"2155" "Oediceroides emarginatus" "Actinocyclus spiritus" 6.4 1.64e-11 "2D"
"2156" "Oediceroides emarginatus" "Actinocyclus utricularis" 6.4 4.01e-12 "2D"
"2157" "Oediceroides emarginatus" "Azpeitia tabularis" 6.4 1.14e-11 "2D"
"2158" "Oediceroides emarginatus" "Banquisia belgicae" 6.4 4.01e-12 "2D"
"2159" "Oediceroides emarginatus" "Chaetoceros bulbosum" 6.4 6.04e-13 "2D"
"2160" "Oediceroides emarginatus" "Chaetoceros concavicornis" 6.4 4.01e-12 "2D"
"2161" "Oediceroides emarginatus" "Chaetoceros criophilum" 6.4 4.01e-12 "2D"
"2162" "Oediceroides emarginatus" "Chaetoceros dichaeta" 6.4 6.04e-13 "2D"
"2163" "Oediceroides emarginatus" "Chaetoceros flexuosum" 6.4 1.67e-12 "2D"
"2164" "Oediceroides emarginatus" "Chaetoceros neglectum" 6.4 9.11e-14 "2D"
"2165" "Oediceroides emarginatus" "Chaetoceros pelagicus" 6.4 6.04e-13 "2D"
"2166" "Oediceroides emarginatus" "Chaetoceros socialis" 6.4 1.71e-13 "3D"
"2167" "Oediceroides emarginatus" "Corethron criophilum" 6.4 4.01e-12 "2D"
"2168" "Oediceroides emarginatus" "Coscinodiscus oculoides" 6.4 1.59e-09 "2D"
"2169" "Oediceroides emarginatus" "Cylindrotheca closterium" 6.4 4.89e-11 "3D"
"2170" "Oediceroides emarginatus" "Eucampia antarctica" 6.4 7.29e-12 "2D"
"2171" "Oediceroides emarginatus" "Fragilariopsis curta" 6.4 9.11e-14 "2D"
"2172" "Oediceroides emarginatus" "Fragilariopsis cylindrus" 6.4 1.53e-14 "2D"
"2173" "Oediceroides emarginatus" "Fragilariopsis kerguelensis" 6.4 3.29e-13 "2D"
"2174" "Oediceroides emarginatus" "Fragilariopsis linearis" 6.4 4.53e-13 "2D"
"2175" "Oediceroides emarginatus" "Fragilariopsis nana" 6.4 4.53e-13 "2D"
"2176" "Oediceroides emarginatus" "Fragilariopsis obliquecostata" 6.4 4.53e-13 "2D"
"2177" "Oediceroides emarginatus" "Fragilariopsis pseudonana" 6.4 9.11e-14 "2D"
"2178" "Oediceroides emarginatus" "Fragilariopsis rhombica" 6.4 4.53e-13 "2D"
"2179" "Oediceroides emarginatus" "Fragilariopsis ritscheri" 6.4 4.53e-13 "2D"
"2180" "Oediceroides emarginatus" "Fragilariopsis separanda" 6.4 6.04e-13 "2D"
"2181" "Oediceroides emarginatus" "Fragilariopsis sublinearis" 6.4 1.5e-13 "2D"
"2182" "Oediceroides emarginatus" "Fragilariopsis vanheurckii" 6.4 9.11e-14 "2D"
"2183" "Oediceroides emarginatus" "Manguinea fusiformis" 6.4 1.97e-10 "2D"
"2184" "Oediceroides emarginatus" "Manguinea rigida" 6.4 9.1e-12 "2D"
"2185" "Oediceroides emarginatus" "Navicula glaciei" 6.4 2.26e-14 "2D"
"2186" "Oediceroides emarginatus" "Navicula schefterae" 6.4 2.26e-14 "2D"
"2187" "Oediceroides emarginatus" "Nitzschia kerguelensis" 6.4 5.73e-12 "2D"
"2188" "Oediceroides emarginatus" "Nitzschia lecointei" 6.4 4.63e-11 "2D"
"2189" "Oediceroides emarginatus" "Nitzschia neglecta" 6.4 9.11e-14 "2D"
"2190" "Oediceroides emarginatus" "Odontella weissflogii" 6.4 5.73e-12 "2D"
"2191" "Oediceroides emarginatus" "Porosira glacialis" 6.4 2.94e-11 "2D"
"2192" "Oediceroides emarginatus" "Porosira pseudodenticulata" 6.4 9.81e-11 "2D"
"2193" "Oediceroides emarginatus" "Proboscia alata" 6.4 1.51e-12 "2D"
"2194" "Oediceroides emarginatus" "Proboscia inermi" 6.4 9.94e-13 "2D"
"2195" "Oediceroides emarginatus" "Proboscia truncata" 6.4 1.21e-11 "2D"
"2196" "Oediceroides emarginatus" "Pseudo-Nitzschia heimii" 6.4 1.77e-10 "2D"
"2197" "Oediceroides emarginatus" "Pseudo-Nitzschia liniola" 6.4 8.13e-10 "2D"
"2198" "Oediceroides emarginatus" "Pseudo-Nitzschia prolongatoides" 6.4 3.74e-12 "2D"
"2199" "Oediceroides emarginatus" "Pseudo-Nitzschia subcurvata" 6.4 2.22e-10 "2D"
"2200" "Oediceroides emarginatus" "Rhizosolenia antennata" 6.4 7.78e-12 "2D"
"2201" "Oediceroides emarginatus" "Stellarima microtrias" 6.4 1.01e-10 "2D"
"2202" "Oediceroides emarginatus" "Thalassiosira antarctica" 6.4 1.14e-11 "3D"
"2203" "Oediceroides emarginatus" "Thalassiosira australis" 6.4 2.57e-12 "2D"
"2204" "Oediceroides emarginatus" "Thalassiosira frenguelliopsis" 6.4 3.54e-12 "2D"
"2205" "Oediceroides emarginatus" "Thalassiosira gracilis" 6.4 2.57e-12 "2D"
"2206" "Oediceroides emarginatus" "Thalassiosira gracilis expecta" 6.4 1.92e-11 "2D"
"2207" "Oediceroides emarginatus" "Thalassiosira gravida" 6.4 5.2e-12 "2D"
"2208" "Oediceroides emarginatus" "Thalassiosira lentiginosa" 6.4 6.35e-11 "2D"
"2209" "Oediceroides emarginatus" "Thalassiosira ritscheri" 6.4 6.44e-11 "2D"
"2210" "Oediceroides emarginatus" "Thalassiosira trifulta" 6.4 5.87e-12 "2D"
"2211" "Oediceroides emarginatus" "Thalassiosira tumida" 6.4 6.54e-11 "2D"
"2212" "Oediceroides emarginatus" "Trichotoxon reinboldii" 6.4 2.71e-13 "2D"
"2213" "Oediceroides emarginatus" "Dictyocha speculum" 6.4 6.98e-12 "2D"
"2214" "Oediceroides emarginatus" "Phaeocystis antarctica" 6.4 1.24e-13 "2D"
"2215" "Oediceroides emarginatus" "Silicioflagellata" 6.4 3.44e-14 "2D"
"2216" "Oediceroides emarginatus" "Bodo saltans" 6.4 2.28e-13 "2D"
"2217" "Oediceroides emarginatus" "Amphidinium hadai" 6.4 4e-12 "3D"
"2218" "Oediceroides emarginatus" "Gyrodinium lachryama" 6.4 1.2e-10 "3D"
"2219" "Oediceroides emarginatus" "Parvicorbucula socialis" 6.4 3.3e-13 "3D"
"2220" "Oediceroides emarginatus" "Ampelisca richardsoni" 6.4 0.81 "2D"
"2221" "Oediceroides emarginatus" "Abyssorchomene rossi" 6.4 1.9 "3D"
"2222" "Oediceroides emarginatus" "Abyssorchomene nodimanus" 6.4 0.24 "3D"
"2223" "Oediceroides emarginatus" "Eusirus antarcticus" 6.4 0.14 "3D"
"2224" "Oediceroides emarginatus" "Eusirus perdentatus" 6.4 19 "3D"
"2225" "Oediceroides emarginatus" "Alexandrella mixta" 6.4 1.3 "2D"
"2226" "Oediceroides emarginatus" "Tryphosella murrayi" 6.4 1.3 "3D"
"2227" "Oediceroides emarginatus" "Paramoera walkeri" 6.4 0.73 "2D"
"2228" "Oediceroides emarginatus" "Epimeriella walkeri" 6.4 0.73 "3D"
"2229" "Oediceroides emarginatus" "Cyllopus lucasii" 6.4 0.32 "3D"
"2230" "Oediceroides emarginatus" "Hyperiella dilatata" 6.4 0.0057 "3D"
"2231" "Oediceroides emarginatus" "Vibilia antarctica" 6.4 0.00011 "3D"
"2232" "Oediceroides emarginatus" "Vibilia stebbingi" 6.4 0.00011 "3D"
"2233" "Oediceroides emarginatus" "Hyperia macrocephala" 6.4 0.42 "3D"
"2234" "Oediceroides emarginatus" "Epimeria similis" 6.4 3.7 "3D"
"2235" "Oediceroides emarginatus" "Epimeria robusta" 6.4 1.9 "3D"
"2236" "Oediceroides emarginatus" "Epimeria macrodonta" 6.4 1.3 "3D"
"2237" "Oediceroides emarginatus" "Epimeria rubrieques" 6.4 10 "3D"
"2238" "Oediceroides emarginatus" "Epimeria georgiana" 6.4 1.9 "3D"
"2239" "Oediceroides emarginatus" "Melphidippa antarctica" 6.4 0.47 "3D"
"2240" "Oediceroides emarginatus" "Oediceroides emarginatus" 6.4 6.4 "3D"
"2241" "Oediceroides emarginatus" "Oediceroides calmani" 6.4 0.81 "3D"
"2242" "Oediceroides emarginatus" "Maxilliphimedia longipes" 6.4 0.81 "2D"
"2243" "Oediceroides emarginatus" "Gnathiphimedia mandibularis" 6.4 3.7 "2D"
"2244" "Oediceroides emarginatus" "Echiniphimedia hodgsoni" 6.4 1.9 "2D"
"2245" "Oediceroides emarginatus" "Paraceradocus gibber" 6.4 6.4 "3D"
"2246" "Oediceroides emarginatus" "Liljeborgia georgiana" 6.4 0.59 "3D"
"2247" "Oediceroides emarginatus" "Momoculodes scabriculosus" 6.4 0.47 "2D"
"2248" "Oediceroides emarginatus" "Uristes gigas" 6.4 0.59 "3D"
"2249" "Oediceroides emarginatus" "Eurythenes gryllus" 6.4 50 "3D"
"2250" "Oediceroides emarginatus" "Bathypanoploea schellenbergi" 6.4 3.7 "3D"
"2251" "Oediceroides emarginatus" "Pseudorchomene coatsi" 6.4 0.47 "2D"
"2252" "Oediceroides emarginatus" "Heterophoxus videns" 6.4 0.031 "3D"
"2253" "Oediceroides emarginatus" "Haplocheira plumosa" 6.4 0.031 "2D"
"2254" "Oediceroides emarginatus" "Oradarea edentata" 6.4 0.031 "2D"
"2255" "Oediceroides emarginatus" "Djerboa furcipes" 6.4 0.031 "2D"
"2256" "Oediceroides emarginatus" "Rhachotropis antarctica" 6.4 0.18 "3D"
"2257" "Oediceroides emarginatus" "Themisto gaudichaudii" 6.4 0.12 "3D"
"2258" "Oediceroides emarginatus" "Primno macropa" 6.4 0.24 "3D"
"2259" "Oediceroides calmani" "Actinocyclus actinochilus" 0.81 4.06e-11 "2D"
"2260" "Oediceroides calmani" "Actinocyclus spiritus" 0.81 1.64e-11 "2D"
"2261" "Oediceroides calmani" "Actinocyclus utricularis" 0.81 4.01e-12 "2D"
"2262" "Oediceroides calmani" "Azpeitia tabularis" 0.81 1.14e-11 "2D"
"2263" "Oediceroides calmani" "Banquisia belgicae" 0.81 4.01e-12 "2D"
"2264" "Oediceroides calmani" "Chaetoceros bulbosum" 0.81 6.04e-13 "2D"
"2265" "Oediceroides calmani" "Chaetoceros concavicornis" 0.81 4.01e-12 "2D"
"2266" "Oediceroides calmani" "Chaetoceros criophilum" 0.81 4.01e-12 "2D"
"2267" "Oediceroides calmani" "Chaetoceros dichaeta" 0.81 6.04e-13 "2D"
"2268" "Oediceroides calmani" "Chaetoceros flexuosum" 0.81 1.67e-12 "2D"
"2269" "Oediceroides calmani" "Chaetoceros neglectum" 0.81 9.11e-14 "2D"
"2270" "Oediceroides calmani" "Chaetoceros pelagicus" 0.81 6.04e-13 "2D"
"2271" "Oediceroides calmani" "Chaetoceros socialis" 0.81 1.71e-13 "3D"
"2272" "Oediceroides calmani" "Corethron criophilum" 0.81 4.01e-12 "2D"
"2273" "Oediceroides calmani" "Coscinodiscus oculoides" 0.81 1.59e-09 "2D"
"2274" "Oediceroides calmani" "Cylindrotheca closterium" 0.81 4.89e-11 "3D"
"2275" "Oediceroides calmani" "Eucampia antarctica" 0.81 7.29e-12 "2D"
"2276" "Oediceroides calmani" "Fragilariopsis curta" 0.81 9.11e-14 "2D"
"2277" "Oediceroides calmani" "Fragilariopsis cylindrus" 0.81 1.53e-14 "2D"
"2278" "Oediceroides calmani" "Fragilariopsis kerguelensis" 0.81 3.29e-13 "2D"
"2279" "Oediceroides calmani" "Fragilariopsis linearis" 0.81 4.53e-13 "2D"
"2280" "Oediceroides calmani" "Fragilariopsis nana" 0.81 4.53e-13 "2D"
"2281" "Oediceroides calmani" "Fragilariopsis obliquecostata" 0.81 4.53e-13 "2D"
"2282" "Oediceroides calmani" "Fragilariopsis pseudonana" 0.81 9.11e-14 "2D"
"2283" "Oediceroides calmani" "Fragilariopsis rhombica" 0.81 4.53e-13 "2D"
"2284" "Oediceroides calmani" "Fragilariopsis ritscheri" 0.81 4.53e-13 "2D"
"2285" "Oediceroides calmani" "Fragilariopsis separanda" 0.81 6.04e-13 "2D"
"2286" "Oediceroides calmani" "Fragilariopsis sublinearis" 0.81 1.5e-13 "2D"
"2287" "Oediceroides calmani" "Fragilariopsis vanheurckii" 0.81 9.11e-14 "2D"
"2288" "Oediceroides calmani" "Manguinea fusiformis" 0.81 1.97e-10 "2D"
"2289" "Oediceroides calmani" "Manguinea rigida" 0.81 9.1e-12 "2D"
"2290" "Oediceroides calmani" "Navicula glaciei" 0.81 2.26e-14 "2D"
"2291" "Oediceroides calmani" "Navicula schefterae" 0.81 2.26e-14 "2D"
"2292" "Oediceroides calmani" "Nitzschia kerguelensis" 0.81 5.73e-12 "2D"
"2293" "Oediceroides calmani" "Nitzschia lecointei" 0.81 4.63e-11 "2D"
"2294" "Oediceroides calmani" "Nitzschia neglecta" 0.81 9.11e-14 "2D"
"2295" "Oediceroides calmani" "Odontella weissflogii" 0.81 5.73e-12 "2D"
"2296" "Oediceroides calmani" "Porosira glacialis" 0.81 2.94e-11 "2D"
"2297" "Oediceroides calmani" "Porosira pseudodenticulata" 0.81 9.81e-11 "2D"
"2298" "Oediceroides calmani" "Proboscia alata" 0.81 1.51e-12 "2D"
"2299" "Oediceroides calmani" "Proboscia inermi" 0.81 9.94e-13 "2D"
"2300" "Oediceroides calmani" "Proboscia truncata" 0.81 1.21e-11 "2D"
"2301" "Oediceroides calmani" "Pseudo-Nitzschia heimii" 0.81 1.77e-10 "2D"
"2302" "Oediceroides calmani" "Pseudo-Nitzschia liniola" 0.81 8.13e-10 "2D"
"2303" "Oediceroides calmani" "Pseudo-Nitzschia prolongatoides" 0.81 3.74e-12 "2D"
"2304" "Oediceroides calmani" "Pseudo-Nitzschia subcurvata" 0.81 2.22e-10 "2D"
"2305" "Oediceroides calmani" "Rhizosolenia antennata" 0.81 7.78e-12 "2D"
"2306" "Oediceroides calmani" "Stellarima microtrias" 0.81 1.01e-10 "2D"
"2307" "Oediceroides calmani" "Thalassiosira antarctica" 0.81 1.14e-11 "3D"
"2308" "Oediceroides calmani" "Thalassiosira australis" 0.81 2.57e-12 "2D"
"2309" "Oediceroides calmani" "Thalassiosira frenguelliopsis" 0.81 3.54e-12 "2D"
"2310" "Oediceroides calmani" "Thalassiosira gracilis" 0.81 2.57e-12 "2D"
"2311" "Oediceroides calmani" "Thalassiosira gracilis expecta" 0.81 1.92e-11 "2D"
"2312" "Oediceroides calmani" "Thalassiosira gravida" 0.81 5.2e-12 "2D"
"2313" "Oediceroides calmani" "Thalassiosira lentiginosa" 0.81 6.35e-11 "2D"
"2314" "Oediceroides calmani" "Thalassiosira ritscheri" 0.81 6.44e-11 "2D"
"2315" "Oediceroides calmani" "Thalassiosira trifulta" 0.81 5.87e-12 "2D"
"2316" "Oediceroides calmani" "Thalassiosira tumida" 0.81 6.54e-11 "2D"
"2317" "Oediceroides calmani" "Trichotoxon reinboldii" 0.81 2.71e-13 "2D"
"2318" "Oediceroides calmani" "Dictyocha speculum" 0.81 6.98e-12 "2D"
"2319" "Oediceroides calmani" "Phaeocystis antarctica" 0.81 1.24e-13 "2D"
"2320" "Oediceroides calmani" "Silicioflagellata" 0.81 3.44e-14 "2D"
"2321" "Oediceroides calmani" "Bodo saltans" 0.81 2.28e-13 "2D"
"2322" "Oediceroides calmani" "Amphidinium hadai" 0.81 4e-12 "3D"
"2323" "Oediceroides calmani" "Gyrodinium lachryama" 0.81 1.2e-10 "3D"
"2324" "Oediceroides calmani" "Parvicorbucula socialis" 0.81 3.3e-13 "3D"
"2325" "Oediceroides calmani" "Ampelisca richardsoni" 0.81 0.81 "2D"
"2326" "Oediceroides calmani" "Abyssorchomene rossi" 0.81 1.9 "3D"
"2327" "Oediceroides calmani" "Abyssorchomene nodimanus" 0.81 0.24 "3D"
"2328" "Oediceroides calmani" "Eusirus antarcticus" 0.81 0.14 "3D"
"2329" "Oediceroides calmani" "Eusirus perdentatus" 0.81 19 "3D"
"2330" "Oediceroides calmani" "Alexandrella mixta" 0.81 1.3 "2D"
"2331" "Oediceroides calmani" "Tryphosella murrayi" 0.81 1.3 "3D"
"2332" "Oediceroides calmani" "Paramoera walkeri" 0.81 0.73 "2D"
"2333" "Oediceroides calmani" "Epimeriella walkeri" 0.81 0.73 "3D"
"2334" "Oediceroides calmani" "Cyllopus lucasii" 0.81 0.32 "3D"
"2335" "Oediceroides calmani" "Hyperiella dilatata" 0.81 0.0057 "3D"
"2336" "Oediceroides calmani" "Vibilia antarctica" 0.81 0.00011 "3D"
"2337" "Oediceroides calmani" "Vibilia stebbingi" 0.81 0.00011 "3D"
"2338" "Oediceroides calmani" "Hyperia macrocephala" 0.81 0.42 "3D"
"2339" "Oediceroides calmani" "Epimeria similis" 0.81 3.7 "3D"
"2340" "Oediceroides calmani" "Epimeria robusta" 0.81 1.9 "3D"
"2341" "Oediceroides calmani" "Epimeria macrodonta" 0.81 1.3 "3D"
"2342" "Oediceroides calmani" "Epimeria rubrieques" 0.81 10 "3D"
"2343" "Oediceroides calmani" "Epimeria georgiana" 0.81 1.9 "3D"
"2344" "Oediceroides calmani" "Melphidippa antarctica" 0.81 0.47 "3D"
"2345" "Oediceroides calmani" "Oediceroides emarginatus" 0.81 6.4 "3D"
"2346" "Oediceroides calmani" "Oediceroides calmani" 0.81 0.81 "3D"
"2347" "Oediceroides calmani" "Maxilliphimedia longipes" 0.81 0.81 "2D"
"2348" "Oediceroides calmani" "Gnathiphimedia mandibularis" 0.81 3.7 "2D"
"2349" "Oediceroides calmani" "Echiniphimedia hodgsoni" 0.81 1.9 "2D"
"2350" "Oediceroides calmani" "Paraceradocus gibber" 0.81 6.4 "3D"
"2351" "Oediceroides calmani" "Liljeborgia georgiana" 0.81 0.59 "3D"
"2352" "Oediceroides calmani" "Momoculodes scabriculosus" 0.81 0.47 "2D"
"2353" "Oediceroides calmani" "Uristes gigas" 0.81 0.59 "3D"
"2354" "Oediceroides calmani" "Eurythenes gryllus" 0.81 50 "3D"
"2355" "Oediceroides calmani" "Bathypanoploea schellenbergi" 0.81 3.7 "3D"
"2356" "Oediceroides calmani" "Pseudorchomene coatsi" 0.81 0.47 "2D"
"2357" "Oediceroides calmani" "Heterophoxus videns" 0.81 0.031 "3D"
"2358" "Oediceroides calmani" "Haplocheira plumosa" 0.81 0.031 "2D"
"2359" "Oediceroides calmani" "Oradarea edentata" 0.81 0.031 "2D"
"2360" "Oediceroides calmani" "Djerboa furcipes" 0.81 0.031 "2D"
"2361" "Oediceroides calmani" "Rhachotropis antarctica" 0.81 0.18 "3D"
"2362" "Oediceroides calmani" "Themisto gaudichaudii" 0.81 0.12 "3D"
"2363" "Oediceroides calmani" "Primno macropa" 0.81 0.24 "3D"
"2364" "Maxilliphimedia longipes" "Silicularia rosea" 0.81 0.0022 "2D"
"2365" "Maxilliphimedia longipes" "Tubularia ralphii" 0.81 0.029 "2D"
"2366" "Maxilliphimedia longipes" "Oswaldella antarctica" 0.81 1.3 "2D"
"2367" "Maxilliphimedia longipes" "Monocaulus parvula" 0.81 2.8 "2D"
"2368" "Maxilliphimedia longipes" "Primnoisis antarctica" 0.81 1.5 "2D"
"2369" "Maxilliphimedia longipes" "Gersemia antarctica" 0.81 5800 "2D"
"2370" "Maxilliphimedia longipes" "Clavularia frankiliana" 0.81 0.085 "2D"
"2371" "Maxilliphimedia longipes" "Primnoella" 0.81 0.13 "2D"
"2372" "Maxilliphimedia longipes" "Ainigmaptilon antarcticus" 0.81 0.13 "2D"
"2373" "Maxilliphimedia longipes" "Armadillogorgia cyathella" 0.81 0.13 "2D"
"2374" "Maxilliphimedia longipes" "Alcyonium antarcticum" 0.81 0.13 "2D"
"2375" "Maxilliphimedia longipes" "Anthomastus bathyproctus" 0.81 1.3 "2D"
"2376" "Gnathiphimedia mandibularis" "Cinachyra antarctica" 3.7 0.18 "2D"
"2377" "Gnathiphimedia mandibularis" "Cinachyra barbata" 3.7 0.18 "2D"
"2378" "Gnathiphimedia mandibularis" "Bathydorus spinosus" 3.7 1.2 "2D"
"2379" "Gnathiphimedia mandibularis" "Iophon radiatus" 3.7 2.3 "2D"
"2380" "Gnathiphimedia mandibularis" "Kirkpatrickia variolosa" 3.7 45 "2D"
"2381" "Gnathiphimedia mandibularis" "Rossella racovitzae" 3.7 45 "2D"
"2382" "Gnathiphimedia mandibularis" "Stylocordyla borealis" 3.7 45 "2D"
"2383" "Gnathiphimedia mandibularis" "Homaxinella balfourensis" 3.7 2.3 "2D"
"2384" "Gnathiphimedia mandibularis" "Scolymastra joubini" 3.7 720 "2D"
"2385" "Gnathiphimedia mandibularis" "Latrunculia apicalis" 3.7 1 "2D"
"2386" "Gnathiphimedia mandibularis" "Latrunculia brevis" 3.7 1 "2D"
"2387" "Gnathiphimedia mandibularis" "Tetilla leptoderma" 3.7 30 "2D"
"2388" "Gnathiphimedia mandibularis" "Haliclona dancoi" 3.7 5.6 "2D"
"2389" "Gnathiphimedia mandibularis" "Mycale acerata" 3.7 12 "2D"
"2390" "Gnathiphimedia mandibularis" "Rossella antarctica" 3.7 12 "2D"
"2391" "Gnathiphimedia mandibularis" "Rossella tarenja" 3.7 12 "2D"
"2392" "Gnathiphimedia mandibularis" "Haliclona tenella" 3.7 5.6 "2D"
"2393" "Gnathiphimedia mandibularis" "Clathria pauper" 3.7 2.3 "2D"
"2394" "Gnathiphimedia mandibularis" "Calyx arcuarius" 3.7 2.3 "2D"
"2395" "Gnathiphimedia mandibularis" "Isodyctia toxophila" 3.7 5.6 "2D"
"2396" "Gnathiphimedia mandibularis" "Isodyctia cavicornuta" 3.7 5.6 "2D"
"2397" "Gnathiphimedia mandibularis" "Isodyctia steifera" 3.7 5.6 "2D"
"2398" "Gnathiphimedia mandibularis" "Axociella nidificata" 3.7 6.5 "2D"
"2399" "Gnathiphimedia mandibularis" "Rossella nuda" 3.7 300 "2D"
"2400" "Gnathiphimedia mandibularis" "Tentorium papillatum" 3.7 5.6 "2D"
"2401" "Gnathiphimedia mandibularis" "Tentorium semisuberites" 3.7 5.6 "2D"
"2402" "Gnathiphimedia mandibularis" "Tedania oxeata" 3.7 5.6 "2D"
"2403" "Gnathiphimedia mandibularis" "Tedania tantulata" 3.7 5.6 "2D"
"2404" "Gnathiphimedia mandibularis" "Tedania vanhoeffeni" 3.7 5.6 "2D"
"2405" "Gnathiphimedia mandibularis" "Phorbas areolatus" 3.7 1.2 "2D"
"2406" "Gnathiphimedia mandibularis" "Phorbas glaberrima" 3.7 1.2 "2D"
"2407" "Gnathiphimedia mandibularis" "Polymastia invaginata" 3.7 0.92 "2D"
"2408" "Gnathiphimedia mandibularis" "Polymastia isidis" 3.7 0.92 "2D"
"2409" "Gnathiphimedia mandibularis" "Anoxycalyx joubini" 3.7 720 "2D"
"2410" "Gnathiphimedia mandibularis" "Flustra angusta" 3.7 0.69 "2D"
"2411" "Gnathiphimedia mandibularis" "Camptoplites tricornis" 3.7 0.69 "2D"
"2412" "Gnathiphimedia mandibularis" "Nematoflustra flagellata" 3.7 5.6 "2D"
"2413" "Gnathiphimedia mandibularis" "Austroflustra vulgaris" 3.7 0.15 "2D"
"2414" "Gnathiphimedia mandibularis" "Melicerita obliqua" 3.7 0.69 "2D"
"2415" "Gnathiphimedia mandibularis" "Systenopora contracta" 3.7 30 "2D"
"2416" "Gnathiphimedia mandibularis" "Flustra antarctica" 3.7 5.6 "2D"
"2417" "Gnathiphimedia mandibularis" "Fasciculiporoides ramosa" 3.7 1.2 "2D"
"2418" "Gnathiphimedia mandibularis" "Reteporella hippocrepis" 3.7 2.3 "2D"
"2419" "Gnathiphimedia mandibularis" "Lageneschara lyrulata" 3.7 0.085 "2D"
"2420" "Gnathiphimedia mandibularis" "Isoschizoporella tricuspis" 3.7 0.69 "2D"
"2421" "Gnathiphimedia mandibularis" "Caulastraea curvata" 3.7 0.69 "2D"
"2422" "Gnathiphimedia mandibularis" "Chondriovelum adeliense" 3.7 0.69 "2D"
"2423" "Gnathiphimedia mandibularis" "Bostrychopora dentata" 3.7 0.085 "2D"
"2424" "Gnathiphimedia mandibularis" "Liothyrella uva" 3.7 0.085 "2D"
"2425" "Gnathiphimedia mandibularis" "Magellania joubini" 3.7 0.0022 "2D"
"2426" "Gnathiphimedia mandibularis" "Magellania fragilis" 3.7 0.082 "2D"
"2427" "Gnathiphimedia mandibularis" "Crania lecointei" 3.7 0.00014 "2D"
"2428" "Gnathiphimedia mandibularis" "Compsothyris racovitzae" 3.7 0.0022 "2D"
"2429" "Gnathiphimedia mandibularis" "Liothyrella uva antarctica" 3.7 0.085 "2D"
"2430" "Echiniphimedia hodgsoni" "Cinachyra antarctica" 1.9 0.18 "2D"
"2431" "Echiniphimedia hodgsoni" "Cinachyra barbata" 1.9 0.18 "2D"
"2432" "Echiniphimedia hodgsoni" "Bathydorus spinosus" 1.9 1.2 "2D"
"2433" "Echiniphimedia hodgsoni" "Iophon radiatus" 1.9 2.3 "2D"
"2434" "Echiniphimedia hodgsoni" "Kirkpatrickia variolosa" 1.9 45 "2D"
"2435" "Echiniphimedia hodgsoni" "Rossella racovitzae" 1.9 45 "2D"
"2436" "Echiniphimedia hodgsoni" "Stylocordyla borealis" 1.9 45 "2D"
"2437" "Echiniphimedia hodgsoni" "Homaxinella balfourensis" 1.9 2.3 "2D"
"2438" "Echiniphimedia hodgsoni" "Scolymastra joubini" 1.9 720 "2D"
